Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster,Customer_Segment,DBSCAN_Cluster
326,1,77183.6,1,1,5,7,Potential,3,Loyal Customers,-1
2,7,4310.0,5,5,5,15,Champion,0,Regular Customers,0
75,4,1797.24,2,4,4,10,Loyal,0,Regular Customers,0
19,1,1757.55,4,1,4,9,Potential,0,Regular Customers,0
310,1,334.4,1,1,2,4,At Risk,1,At Risk Customers,0
36,8,2506.04,3,5,5,13,Champion,0,Regular Customers,0
204,1,89.0,1,1,1,3,At Risk,1,At Risk Customers,0
232,1,1079.4,1,1,4,6,At Risk,1,At Risk Customers,0
214,1,459.4,1,1,2,4,At Risk,1,At Risk Customers,0
23,3,2811.43,4,3,5,12,Loyal,0,Regular Customers,0
33,1,6207.67,4,1,5,10,Loyal,0,Regular Customers,0
2,2,1168.06,5,2,4,11,Loyal,0,Regular Customers,0
58,4,6310.03,3,4,5,12,Loyal,0,Regular Customers,0
52,3,2662.06,3,3,5,11,Loyal,0,Regular Customers,0
287,1,189.9,1,1,1,3,At Risk,1,At Risk Customers,0
3,10,5226.23,5,5,5,15,Champion,0,Regular Customers,0
110,2,552.0,2,2,3,7,Potential,0,Regular Customers,0
8,4,1313.1,5,4,4,13,Champion,0,Regular Customers,0
291,2,641.38,1,2,3,6,At Risk,1,At Risk Customers,0
4,1,168.9,5,1,1,7,Potential,0,Regular Customers,0
51,4,3541.94,3,4,5,12,Loyal,0,Regular Customers,0
45,2,1887.96,3,2,4,9,Potential,0,Regular Customers,0
72,3,1298.04,3,3,4,10,Loyal,0,Regular Customers,0
311,1,364.6,1,1,2,4,At Risk,1,At Risk Customers,0
25,1,742.9300000000001,4,1,3,8,Potential,0,Regular Customers,0
11,2,457.5,5,2,2,9,Potential,0,Regular Customers,0
315,2,1628.12,1,2,4,7,Potential,1,At Risk Customers,0
130,1,4008.62,2,1,5,8,Potential,0,Regular Customers,0
82,2,852.24,2,2,3,7,Potential,0,Regular Customers,0
22,4,2724.81,4,4,5,13,Champion,0,Regular Customers,0
5,5,1845.31,5,4,4,13,Champion,0,Regular Customers,0
185,5,1850.56,1,4,4,9,Potential,1,At Risk Customers,0
29,2,585.27,4,2,3,9,Potential,0,Regular Customers,0
338,2,401.9,1,2,2,5,At Risk,1,At Risk Customers,0
16,6,2780.66,4,4,5,13,Champion,0,Regular Customers,0
80,1,549.84,2,1,3,6,At Risk,0,Regular Customers,0
22,1,439.66,4,1,2,7,Potential,0,Regular Customers,0
72,4,1582.6,3,4,4,11,Loyal,0,Regular Customers,0
64,2,1272.48,3,2,4,9,Potential,0,Regular Customers,0
19,12,3018.63,4,5,5,14,Champion,0,Regular Customers,0
36,2,2409.9,3,2,5,10,Loyal,0,Regular Customers,0
46,1,1635.66,3,1,4,8,Potential,0,Regular Customers,0
119,4,1108.65,2,4,4,10,Loyal,0,Regular Customers,0
303,1,84.3,1,1,1,3,At Risk,1,At Risk Customers,0
323,1,225.6,1,1,1,3,At Risk,1,At Risk Customers,0
50,1,427.7,3,1,2,6,At Risk,0,Regular Customers,0
149,1,1710.39,2,1,4,7,Potential,1,At Risk Customers,0
22,2,3415.3,4,2,5,11,Loyal,0,Regular Customers,0
50,5,1708.12,3,4,4,11,Loyal,0,Regular Customers,0
33,5,2888.55,4,4,5,13,Champion,0,Regular Customers,0
79,3,11072.67,2,3,5,10,Loyal,0,Regular Customers,0
309,2,693.3299999999999,1,2,3,6,At Risk,1,At Risk Customers,0
75,3,1226.88,2,3,4,9,Potential,0,Regular Customers,0
67,3,758.1,3,3,3,9,Potential,0,Regular Customers,0
217,3,562.41,1,3,3,7,Potential,1,At Risk Customers,0
24,21,124914.53,4,5,5,14,Champion,2,VIP Customers,-1
3,9,3649.1,5,5,5,15,Champion,0,Regular Customers,0
113,1,668.58,2,1,3,6,At Risk,0,Regular Customers,0
64,1,600.39,3,1,3,7,Potential,0,Regular Customers,0
16,4,807.04,4,4,3,11,Loyal,0,Regular Customers,0
96,3,803.5600000000001,2,3,3,8,Potential,0,Regular Customers,0
1,8,1859.31,5,5,4,14,Champion,0,Regular Customers,0
163,2,1760.96,2,2,4,8,Potential,1,At Risk Customers,0
78,1,777.2,2,1,3,6,At Risk,0,Regular Customers,0
195,1,582.73,1,1,3,5,At Risk,1,At Risk Customers,0
22,3,825.8,4,3,3,10,Loyal,0,Regular Customers,0
26,9,7956.46,4,5,5,14,Champion,0,Regular Customers,0
9,4,3750.4,5,4,5,14,Champion,0,Regular Customers,0
43,1,256.4,3,1,2,6,At Risk,0,Regular Customers,0
36,15,6419.95,3,5,5,13,Champion,3,Loyal Customers,0
43,5,5059.32,3,4,5,12,Loyal,0,Regular Customers,0
1,7,13375.87,5,5,5,15,Champion,0,Regular Customers,0
