ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-12-01,9071.33482118892,12746.191945871331,43638.89187780456,9071.33482118892,9071.33482118892,19134.657893947628,19134.657893947628,19134.657893947628,5569.372579761396,5569.372579761396,5569.372579761396,13565.285314186229,13565.285314186229,13565.285314186229,0.0,0.0,0.0,28205.99271513655
2010-12-02,9147.639418235685,19108.69234758242,52347.66266843254,9147.639418235685,9147.639418235685,27611.774029052187,27611.774029052187,27611.774029052187,12663.882641563197,12663.882641563197,12663.882641563197,14947.89138748899,14947.89138748899,14947.89138748899,0.0,0.0,0.0,36759.41344728787
2010-12-03,9223.944015282448,12959.436245909148,44701.08107618779,9223.944015282448,9223.944015282448,19697.941500853045,19697.941500853045,19697.941500853045,3493.2599433911328,3493.2599433911328,3493.2599433911328,16204.681557461912,16204.681557461912,16204.681557461912,0.0,0.0,0.0,28921.885516135495
2010-12-04,9300.248612329213,-11542.673343788116,18722.658076183623,9300.248612329213,9300.248612329213,-6136.792237435594,-6136.792237435594,-6136.792237435594,-23440.83727575179,-23440.83727575179,-23440.83727575179,17304.045038316195,17304.045038316195,17304.045038316195,0.0,0.0,0.0,3163.456374893619
2010-12-05,9376.553209375978,2964.643251660047,35846.727421624426,9376.553209375978,9376.553209375978,9504.13642838476,9504.13642838476,9504.13642838476,-8713.220740557617,-8713.220740557617,-8713.220740557617,18217.357168942377,18217.357168942377,18217.357168942377,0.0,0.0,0.0,18880.689637760737
2010-12-06,9452.85780642274,13830.548071759104,46285.50797722885,9452.85780642274,9452.85780642274,21024.52787574023,21024.52787574023,21024.52787574023,2104.763423530878,2104.763423530878,2104.763423530878,18919.764452209354,18919.764452209354,18919.764452209354,0.0,0.0,0.0,30477.38568216297
2010-12-07,9529.162403469505,19280.812868182347,52252.10826631063,9529.162403469505,9529.162403469505,27713.66158977464,27713.66158977464,27713.66158977464,8322.779428033115,8322.779428033115,8322.779428033115,19390.88216174153,19390.88216174153,19390.88216174153,0.0,0.0,0.0,37242.82399324415
2010-12-08,9605.46700051627,18860.306278938384,49686.741982694926,9605.46700051627,9605.46700051627,25184.757537394034,25184.757537394034,25184.757537394034,5569.37257980141,5569.37257980141,5569.37257980141,19615.38495759262,19615.38495759262,19615.38495759262,0.0,0.0,0.0,34790.224537910304
2010-12-09,9681.771597563033,25119.160366716085,58358.029020876136,9681.771597563033,9681.771597563033,32247.35630748901,32247.35630748901,32247.35630748901,12663.882641557459,12663.882641557459,12663.882641557459,19583.473665931553,19583.473665931553,19583.473665931553,0.0,0.0,0.0,41929.127905052046
2010-12-10,9758.076194609795,17352.493941901274,49097.59674195554,9758.076194609795,9758.076194609795,22784.464514490675,22784.464514490675,22784.464514490675,3493.2599433785526,3493.2599433785526,3493.2599433785526,19291.204571112125,19291.204571112125,19291.204571112125,0.0,0.0,0.0,32542.54070910047
2010-12-11,9834.380791656562,-10690.084419687839,21478.77494484042,9834.380791656562,9834.380791656562,-4700.166119266736,-4700.166119266736,-4700.166119266736,-23440.837275753755,-23440.837275753755,-23440.837275753755,18740.671156487017,18740.671156487017,18740.671156487017,0.0,0.0,0.0,5134.214672389826
2010-12-12,9910.685388703325,1701.216580077638,35546.42476215538,9910.685388703325,9910.685388703325,9226.811375964813,9226.811375964813,9226.811375964813,-8713.220740582912,-8713.220740582912,-8713.220740582912,17940.032116547725,17940.032116547725,17940.032116547725,0.0,0.0,0.0,19137.49676466814
2010-12-13,9986.98998575009,12982.22358877569,45499.455842089876,9986.98998575009,9986.98998575009,19008.146966228018,19008.146966228018,19008.146966228018,2104.7634235208793,2104.7634235208793,2104.7634235208793,16903.38354270714,16903.38354270714,16903.38354270714,0.0,0.0,0.0,28995.136951978107
2010-12-14,10063.294578790386,17678.951193067856,51096.724672087366,10063.294578790386,10063.294578790386,23973.256775046084,23973.256775046084,23973.256775046084,8322.77942804733,8322.77942804733,8322.77942804733,15650.477346998754,15650.477346998754,15650.477346998754,0.0,0.0,0.0,34036.55135383647
2010-12-15,10139.599171830683,13399.307860355966,44761.64812264938,10139.599171830683,10139.599171830683,19775.66469848028,19775.66469848028,19775.66469848028,5569.372579785042,5569.372579785042,5569.372579785042,14206.292118695237,14206.292118695237,14206.292118695237,0.0,0.0,0.0,29915.263870310962
2010-12-16,10215.90376487098,18460.76925259553,50637.069461674975,10215.90376487098,10215.90376487098,25264.349236320813,25264.349236320813,25264.349236320813,12663.882641551718,12663.882641551718,12663.882641551718,12600.466594769096,12600.466594769096,12600.466594769096,0.0,0.0,0.0,35480.25300119179
2010-12-17,10292.208357911275,7403.635427500533,40987.08749444778,10292.208357911275,10292.208357911275,14359.869599754249,14359.869599754249,14359.869599754249,3493.25994334402,3493.25994334402,3493.25994334402,10866.60965641023,10866.60965641023,10866.60965641023,0.0,0.0,0.0,24652.077957665526
2010-12-18,10368.512950951574,-19178.63412003293,11511.239728954644,10368.512950951574,10368.512950951574,-14399.333138755419,-14399.333138755419,-14399.333138755419,-23440.83727573225,-23440.83727573225,-23440.83727573225,9041.50413697683,9041.50413697683,9041.50413697683,0.0,0.0,0.0,-4030.8201878038453
2010-12-19,10444.81754399187,-7657.579682765527,25989.948310500284,10444.81754399187,10444.81754399187,-1548.9960922063112,-1548.9960922063112,-1548.9960922063112,-8713.220740569132,-8713.220740569132,-8713.220740569132,7164.22464836282,7164.22464836282,7164.22464836282,0.0,0.0,0.0,8895.82145178556
2010-12-20,10521.122137032165,2255.2504410620686,33638.953875680585,10521.122137032165,10521.122137032165,7379.955444129607,7379.955444129607,7379.955444129607,2104.7634235312985,2104.7634235312985,2104.7634235312985,5275.192020598309,5275.192020598309,5275.192020598309,0.0,0.0,0.0,17901.07758116177
2010-12-21,10597.426730072462,6578.7077327845645,39265.59597298508,10597.426730072462,10597.426730072462,11737.968164577585,11737.968164577585,11737.968164577585,8322.779428025315,8322.779428025315,8322.779428025315,3415.188736552268,3415.188736552268,3415.188736552268,0.0,0.0,0.0,22335.394894650046
2010-12-22,10673.73132311276,1857.254956047853,34612.14913102488,10673.73132311276,10673.73132311276,7193.733458792997,7193.733458792997,7193.733458792997,5569.372579796867,5569.372579796867,5569.372579796867,1624.3608789961293,1624.3608789961293,1624.3608789961293,0.0,0.0,0.0,17867.464781905757
2010-12-23,10750.035916153056,6729.60388604008,39314.026753583865,10750.035916153056,10750.035916153056,12605.11519938994,12605.11519938994,12605.11519938994,12663.882641572169,12663.882641572169,12663.882641572169,-58.7674421822301,-58.7674421822301,-58.7674421822301,0.0,0.0,0.0,23355.151115542998
2010-12-24,10826.340509193353,-3582.1768195002037,29449.560479296255,10826.340509193353,10826.340509193353,1895.0184797134298,1895.0184797134298,1895.0184797134298,3493.2599433798414,3493.2599433798414,3493.2599433798414,-1598.2414636664118,-1598.2414636664118,-1598.2414636664118,0.0,0.0,0.0,12721.358988906783
2010-12-25,10902.64510223365,-31174.43192269854,1366.0786803737515,10902.64510223365,10902.64510223365,-26402.39744282693,-26402.39744282693,-26402.39744282693,-23440.837275730282,-23440.837275730282,-23440.837275730282,-2961.5601670966485,-2961.5601670966485,-2961.5601670966485,0.0,0.0,0.0,-15499.752340593279
2010-12-26,10978.94969339205,-17808.942206374722,14506.316489845196,10978.94969339205,10978.94969339205,-12833.695279792222,-12833.695279792222,-12833.695279792222,-8713.220740553721,-8713.220740553721,-8713.220740553721,-4120.474539238499,-4120.474539238499,-4120.474539238499,0.0,0.0,0.0,-1854.7455864001713
2010-12-27,11055.254284550452,-7066.879725718854,24935.59631960236,11055.254284550452,11055.254284550452,-2946.9153481724184,-2946.9153481724184,-2946.9153481724184,2104.7634235417177,2104.7634235417177,2104.7634235417177,-5051.678771714136,-5051.678771714136,-5051.678771714136,0.0,0.0,0.0,8108.338936378033
2010-12-28,11131.558875708854,-3639.627797451009,29939.37609676438,11131.558875708854,11131.558875708854,2585.403141462728,2585.403141462728,2585.403141462728,8322.779428049236,8322.779428049236,8322.779428049236,-5737.376286586508,-5737.376286586508,-5737.376286586508,0.0,0.0,0.0,13716.962017171581
2010-12-29,11207.863466867255,-5218.288293213467,25698.489449788325,11207.863466867255,11207.863466867255,-596.3331947591289,-596.3331947591289,-596.3331947591289,5569.372579765613,5569.372579765613,5569.372579765613,-6165.705774524743,-6165.705774524743,-6165.705774524743,0.0,0.0,0.0,10611.530272108126
2010-12-30,11284.168058025656,478.27852347326524,31563.212415285812,11284.168058025656,11284.168058025656,6332.866506129455,6332.866506129455,6332.866506129455,12663.8826415386,12663.8826415386,12663.8826415386,-6331.016135409145,-6331.016135409145,-6331.016135409145,0.0,0.0,0.0,17617.03456415511
2010-12-31,11360.472649184057,-8065.890864363267,23953.437684181295,11360.472649184057,11360.472649184057,-2740.7232732407447,-2740.7232732407447,-2740.7232732407447,3493.2599433672635,3493.2599433672635,3493.2599433672635,-6233.983216608008,-6233.983216608008,-6233.983216608008,0.0,0.0,0.0,8619.749375943313
2011-01-01,11436.77724034246,-35049.521490836094,-2096.204784977951,11436.77724034246,11436.77724034246,-29322.40271828328,-29322.40271828328,-29322.40271828328,-23440.83727575178,-23440.83727575178,-23440.83727575178,-5881.5654425315015,-5881.5654425315015,-5881.5654425315015,0.0,0.0,0.0,-17885.62547794082
2011-01-02,11513.081831500862,-19963.26886960267,13930.835967275356,11513.081831500862,11513.081831500862,-14000.020446946599,-14000.020446946599,-14000.020446946599,-8713.220740539124,-8713.220740539124,-8713.220740539124,-5286.799706407478,-5286.799706407478,-5286.799706407478,0.0,0.0,0.0,-2486.938615445737
2011-01-03,11589.386422659263,-7975.899230036435,26341.643279676304,11589.386422659263,11589.386422659263,-2363.679711240214,-2363.679711240214,-2363.679711240214,2104.763423518521,2104.763423518521,2104.763423518521,-4468.443134758735,-4468.443134758735,-4468.443134758735,0.0,0.0,0.0,9225.706711419049
2011-01-04,11665.691013817666,-48.52309172672134,32094.162219337493,11665.691013817666,11665.691013817666,4872.30900691606,4872.30900691606,4872.30900691606,8322.779428040483,8322.779428040483,8322.779428040483,-3450.470421124424,-3450.470421124424,-3450.470421124424,0.0,0.0,0.0,16538.000020733725
2011-01-05,11741.99560497607,-1382.147814734258,31007.38997201135,11741.99560497607,11741.99560497607,3307.9323327629036,3307.9323327629036,3307.9323327629036,5569.372579749248,5569.372579749248,5569.372579749248,-2261.4402469863444,-2261.4402469863444,-2261.4402469863444,0.0,0.0,0.0,15049.927937738972
2011-01-06,11818.300196134469,6475.332319515582,38834.49827172501,11818.300196134469,11818.300196134469,11730.134881201633,11730.134881201633,11730.134881201633,12663.882641560685,12663.882641560685,12663.882641560685,-933.7477603590542,-933.7477603590542,-933.7477603590542,0.0,0.0,0.0,23548.4350773361
2011-01-07,11894.587840564565,359.9022097538037,33628.52238869335,11894.587840564565,11894.587840564565,3990.476871285592,3990.476871285592,3990.476871285592,3493.2599434250396,3493.2599434250396,3493.2599434250396,497.2169278605526,497.2169278605526,497.2169278605526,0.0,0.0,0.0,15885.064711850158
2011-01-08,11970.87548499466,-25597.206886668748,6916.744603098496,11970.87548499466,11970.87548499466,-21446.85545200002,-21446.85545200002,-21446.85545200002,-23440.837275730275,-23440.837275730275,-23440.837275730275,1993.9818237302593,1993.9818237302593,1993.9818237302593,0.0,0.0,0.0,-9475.979967005362
