Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
326,1,77183.6,1,1,5,7,Potential
2,7,4310.0,5,5,5,15,Champion
75,4,1797.24,2,4,4,10,Loyal
19,1,1757.55,4,1,4,9,Potential
310,1,334.4,1,1,2,4,At Risk
36,8,2506.04,3,5,5,13,Champion
204,1,89.0,1,1,1,3,At Risk
232,1,1079.4,1,1,4,6,At Risk
214,1,459.4,1,1,2,4,At Risk
23,3,2811.43,4,3,5,12,Loyal
33,1,6207.67,4,1,5,10,Loyal
2,2,1168.06,5,2,4,11,Loyal
58,4,6310.03,3,4,5,12,Loyal
52,3,2662.06,3,3,5,11,Loyal
287,1,189.9,1,1,1,3,At Risk
3,10,5226.23,5,5,5,15,Champion
110,2,552.0,2,2,3,7,Potential
8,4,1313.1,5,4,4,13,Champion
291,2,641.38,1,2,3,6,At Risk
4,1,168.9,5,1,1,7,Potential
51,4,3541.94,3,4,5,12,Loyal
45,2,1887.96,3,2,4,9,Potential
72,3,1298.04,3,3,4,10,Loyal
311,1,364.6,1,1,2,4,At Risk
25,1,742.9300000000001,4,1,3,8,Potential
11,2,457.5,5,2,2,9,Potential
315,2,1628.12,1,2,4,7,Potential
130,1,4008.62,2,1,5,8,Potential
82,2,852.24,2,2,3,7,Potential
22,4,2724.81,4,4,5,13,Champion
5,5,1845.31,5,4,4,13,Champion
185,5,1850.56,1,4,4,9,Potential
29,2,585.27,4,2,3,9,Potential
338,2,401.9,1,2,2,5,At Risk
16,6,2780.66,4,4,5,13,Champion
80,1,549.84,2,1,3,6,At Risk
22,1,439.66,4,1,2,7,Potential
72,4,1582.6000000000001,3,4,4,11,Loyal
64,2,1272.48,3,2,4,9,Potential
19,12,3018.63,4,5,5,14,Champion
36,2,2409.9,3,2,5,10,Loyal
46,1,1635.6599999999999,3,1,4,8,Potential
119,4,1108.65,2,4,4,10,Loyal
303,1,84.3,1,1,1,3,At Risk
323,1,225.6,1,1,1,3,At Risk
50,1,427.7,3,1,2,6,At Risk
149,1,1710.39,2,1,4,7,Potential
22,2,3415.3,4,2,5,11,Loyal
50,5,1708.1200000000001,3,4,4,11,Loyal
33,5,2888.55,4,4,5,13,Champion
79,3,11072.67,2,3,5,10,Loyal
309,2,693.3299999999999,1,2,3,6,At Risk
75,3,1226.88,2,3,4,9,Potential
67,3,758.1,3,3,3,9,Potential
217,3,562.41,1,3,3,7,Potential
24,21,124914.53,4,5,5,14,Champion
3,9,3649.1,5,5,5,15,Champion
113,1,668.58,2,1,3,6,At Risk
64,1,600.39,3,1,3,7,Potential
16,4,807.04,4,4,3,11,Loyal
96,3,803.5600000000001,2,3,3,8,Potential
1,8,1859.31,5,5,4,14,Champion
163,2,1760.96,2,2,4,8,Potential
78,1,777.2,2,1,3,6,At Risk
195,1,582.73,1,1,3,5,At Risk
22,3,825.8,4,3,3,10,Loyal
26,9,7956.46,4,5,5,14,Champion
9,4,3750.4,5,4,5,14,Champion
43,1,256.4,3,1,2,6,At Risk
36,15,6419.95,3,5,5,13,Champion
43,5,5059.32,3,4,5,12,Loyal
1,7,13375.87,5,5,5,15,Champion
85,2,806.14,2,2,3,7,Potential
80,2,7829.89,2,2,5,9,Potential
100,1,509.01,2,1,3,6,At Risk
2,18,4951.41,5,5,5,15,Champion
14,2,2906.85,4,2,5,11,Loyal
367,1,173.55,1,1,1,3,At Risk
3,1,172.06,5,1,1,7,Potential
21,5,5005.46,4,4,5,13,Champion
22,1,133.4,4,1,1,6,At Risk
58,1,1002.3100000000001,3,1,4,8,Potential
243,1,476.49,1,1,2,4,At Risk
44,1,449.45,3,1,2,6,At Risk
22,4,4067.29,4,4,5,13,Champion
156,2,197.88,2,2,1,5,At Risk
11,5,9035.52,5,4,5,14,Champion
17,2,430.57,4,2,2,8,Potential
134,1,707.09,2,1,3,6,At Risk
56,1,3528.34,3,1,5,9,Potential
73,6,2466.86,2,4,5,11,Loyal
44,3,3181.04,3,3,5,11,Loyal
66,7,2363.23,3,5,5,13,Champion
71,2,947.4,3,2,4,9,Potential
94,2,826.88,2,2,3,7,Potential
19,2,1189.59,4,2,4,10,Loyal
53,4,1344.78,3,4,4,11,Loyal
10,8,1212.05,5,5,4,14,Champion
17,2,742.1899999999999,4,2,3,9,Potential
188,2,729.5400000000001,1,2,3,6,At Risk
2,30,19788.65,5,5,5,15,Champion
32,7,6572.11,4,5,5,14,Champion
29,5,3928.0499999999997,4,4,5,13,Champion
17,18,7324.09,4,5,5,14,Champion
54,1,723.38,3,1,3,7,Potential
16,11,6816.42,4,5,5,14,Champion
23,6,13219.74,4,4,5,13,Champion
