ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-12-01,9071.33482118892,12549.854876753625,44285.472521139134,9071.33482118892,9071.33482118892,19134.657893947628,19134.657893947628,19134.657893947628,5569.372579761396,5569.372579761396,5569.372579761396,13565.285314186229,13565.285314186229,13565.285314186229,0.0,0.0,0.0,28205.99271513655
2010-12-02,9147.639418235685,19392.66695107372,52183.42957875008,9147.639418235685,9147.639418235685,27611.774029052187,27611.774029052187,27611.774029052187,12663.882641563197,12663.882641563197,12663.882641563197,14947.89138748899,14947.89138748899,14947.89138748899,0.0,0.0,0.0,36759.41344728787
2010-12-03,9223.944015282448,11741.453761623055,45473.167180523495,9223.944015282448,9223.944015282448,19697.941500853045,19697.941500853045,19697.941500853045,3493.2599433911328,3493.2599433911328,3493.2599433911328,16204.681557461912,16204.681557461912,16204.681557461912,0.0,0.0,0.0,28921.885516135495
2010-12-04,9300.248612329213,-13383.359719505137,20064.168497400868,9300.248612329213,9300.248612329213,-6136.792237435594,-6136.792237435594,-6136.792237435594,-23440.83727575179,-23440.83727575179,-23440.83727575179,17304.045038316195,17304.045038316195,17304.045038316195,0.0,0.0,0.0,3163.456374893619
2010-12-05,9376.553209375978,3189.9064653477685,34652.70424872171,9376.553209375978,9376.553209375978,9504.13642838476,9504.13642838476,9504.13642838476,-8713.220740557617,-8713.220740557617,-8713.220740557617,18217.357168942377,18217.357168942377,18217.357168942377,0.0,0.0,0.0,18880.689637760737
2010-12-06,9452.85780642274,12860.034363894933,46682.69031813303,9452.85780642274,9452.85780642274,21024.52787574023,21024.52787574023,21024.52787574023,2104.763423530878,2104.763423530878,2104.763423530878,18919.764452209354,18919.764452209354,18919.764452209354,0.0,0.0,0.0,30477.38568216297
2010-12-07,9529.162403469505,20089.053836131985,53785.07197453695,9529.162403469505,9529.162403469505,27713.66158977464,27713.66158977464,27713.66158977464,8322.779428033115,8322.779428033115,8322.779428033115,19390.88216174153,19390.88216174153,19390.88216174153,0.0,0.0,0.0,37242.82399324415
2010-12-08,9605.46700051627,16875.656351385933,50861.723622679856,9605.46700051627,9605.46700051627,25184.757537394034,25184.757537394034,25184.757537394034,5569.37257980141,5569.37257980141,5569.37257980141,19615.38495759262,19615.38495759262,19615.38495759262,0.0,0.0,0.0,34790.224537910304
2010-12-09,9681.771597563033,25051.33460237646,57596.18417034898,9681.771597563033,9681.771597563033,32247.35630748901,32247.35630748901,32247.35630748901,12663.882641557459,12663.882641557459,12663.882641557459,19583.473665931553,19583.473665931553,19583.473665931553,0.0,0.0,0.0,41929.127905052046
2010-12-10,9758.076194609795,16043.330260662515,48768.78120425493,9758.076194609795,9758.076194609795,22784.464514490675,22784.464514490675,22784.464514490675,3493.2599433785526,3493.2599433785526,3493.2599433785526,19291.204571112125,19291.204571112125,19291.204571112125,0.0,0.0,0.0,32542.54070910047
2010-12-11,9834.380791656562,-10995.988159174944,20907.589095894775,9834.380791656562,9834.380791656562,-4700.166119266736,-4700.166119266736,-4700.166119266736,-23440.837275753755,-23440.837275753755,-23440.837275753755,18740.671156487017,18740.671156487017,18740.671156487017,0.0,0.0,0.0,5134.214672389826
2010-12-12,9910.685388703325,2996.80534385452,35990.313133587195,9910.685388703325,9910.685388703325,9226.811375964813,9226.811375964813,9226.811375964813,-8713.220740582912,-8713.220740582912,-8713.220740582912,17940.032116547725,17940.032116547725,17940.032116547725,0.0,0.0,0.0,19137.49676466814
2010-12-13,9986.98998575009,12074.113114392625,45335.236324337675,9986.98998575009,9986.98998575009,19008.146966228018,19008.146966228018,19008.146966228018,2104.7634235208793,2104.7634235208793,2104.7634235208793,16903.38354270714,16903.38354270714,16903.38354270714,0.0,0.0,0.0,28995.136951978107
2010-12-14,10063.294578790386,18890.341550673238,50885.30299978176,10063.294578790386,10063.294578790386,23973.256775046084,23973.256775046084,23973.256775046084,8322.77942804733,8322.77942804733,8322.77942804733,15650.477346998754,15650.477346998754,15650.477346998754,0.0,0.0,0.0,34036.55135383647
2010-12-15,10139.599171830683,13608.212461644469,46914.68451957683,10139.599171830683,10139.599171830683,19775.66469848028,19775.66469848028,19775.66469848028,5569.372579785042,5569.372579785042,5569.372579785042,14206.292118695237,14206.292118695237,14206.292118695237,0.0,0.0,0.0,29915.263870310962
2010-12-16,10215.90376487098,19733.159717585284,53439.17189935063,10215.90376487098,10215.90376487098,25264.349236320813,25264.349236320813,25264.349236320813,12663.882641551718,12663.882641551718,12663.882641551718,12600.466594769096,12600.466594769096,12600.466594769096,0.0,0.0,0.0,35480.25300119179
2010-12-17,10292.208357911275,8390.048511971458,41698.26231515884,10292.208357911275,10292.208357911275,14359.869599754249,14359.869599754249,14359.869599754249,3493.25994334402,3493.25994334402,3493.25994334402,10866.60965641023,10866.60965641023,10866.60965641023,0.0,0.0,0.0,24652.077957665526
2010-12-18,10368.512950951574,-20294.955842603078,12101.615325839433,10368.512950951574,10368.512950951574,-14399.333138755419,-14399.333138755419,-14399.333138755419,-23440.83727573225,-23440.83727573225,-23440.83727573225,9041.50413697683,9041.50413697683,9041.50413697683,0.0,0.0,0.0,-4030.8201878038453
2010-12-19,10444.81754399187,-7396.532298897116,25901.228764513045,10444.81754399187,10444.81754399187,-1548.9960922063112,-1548.9960922063112,-1548.9960922063112,-8713.220740569132,-8713.220740569132,-8713.220740569132,7164.22464836282,7164.22464836282,7164.22464836282,0.0,0.0,0.0,8895.82145178556
2010-12-20,10521.122137032165,912.0173402984606,34120.66325954627,10521.122137032165,10521.122137032165,7379.955444129607,7379.955444129607,7379.955444129607,2104.7634235312985,2104.7634235312985,2104.7634235312985,5275.192020598309,5275.192020598309,5275.192020598309,0.0,0.0,0.0,17901.07758116177
2010-12-21,10597.426730072462,6232.062719297495,38370.99196733638,10597.426730072462,10597.426730072462,11737.968164577585,11737.968164577585,11737.968164577585,8322.779428025315,8322.779428025315,8322.779428025315,3415.188736552268,3415.188736552268,3415.188736552268,0.0,0.0,0.0,22335.394894650046
2010-12-22,10673.73132311276,2110.7638235736513,34832.16105638608,10673.73132311276,10673.73132311276,7193.733458792997,7193.733458792997,7193.733458792997,5569.372579796867,5569.372579796867,5569.372579796867,1624.3608789961293,1624.3608789961293,1624.3608789961293,0.0,0.0,0.0,17867.464781905757
2010-12-23,10750.035916153056,6583.249023074208,40348.48719798603,10750.035916153056,10750.035916153056,12605.11519938994,12605.11519938994,12605.11519938994,12663.882641572169,12663.882641572169,12663.882641572169,-58.7674421822301,-58.7674421822301,-58.7674421822301,0.0,0.0,0.0,23355.151115542998
2010-12-24,10826.340509193353,-2305.2513316849704,30079.25968282675,10826.340509193353,10826.340509193353,1895.0184797134298,1895.0184797134298,1895.0184797134298,3493.2599433798414,3493.2599433798414,3493.2599433798414,-1598.2414636664118,-1598.2414636664118,-1598.2414636664118,0.0,0.0,0.0,12721.358988906783
2010-12-25,10902.64510223365,-30532.679231642807,625.4622629158774,10902.64510223365,10902.64510223365,-26402.39744282693,-26402.39744282693,-26402.39744282693,-23440.837275730282,-23440.837275730282,-23440.837275730282,-2961.5601670966485,-2961.5601670966485,-2961.5601670966485,0.0,0.0,0.0,-15499.752340593279
2010-12-26,10978.94969339205,-16656.352265135236,14322.986113335463,10978.94969339205,10978.94969339205,-12833.695279792222,-12833.695279792222,-12833.695279792222,-8713.220740553721,-8713.220740553721,-8713.220740553721,-4120.474539238499,-4120.474539238499,-4120.474539238499,0.0,0.0,0.0,-1854.7455864001713
2010-12-27,11055.254284550452,-8390.909897702035,24954.584441744308,11055.254284550452,11055.254284550452,-2946.9153481724184,-2946.9153481724184,-2946.9153481724184,2104.7634235417177,2104.7634235417177,2104.7634235417177,-5051.678771714136,-5051.678771714136,-5051.678771714136,0.0,0.0,0.0,8108.338936378033
2010-12-28,11131.558875708854,-1795.5187829497618,31030.257057316365,11131.558875708854,11131.558875708854,2585.403141462728,2585.403141462728,2585.403141462728,8322.779428049236,8322.779428049236,8322.779428049236,-5737.376286586508,-5737.376286586508,-5737.376286586508,0.0,0.0,0.0,13716.962017171581
2010-12-29,11207.863466867255,-7713.401898349638,25688.873766526034,11207.863466867255,11207.863466867255,-596.3331947591289,-596.3331947591289,-596.3331947591289,5569.372579765613,5569.372579765613,5569.372579765613,-6165.705774524743,-6165.705774524743,-6165.705774524743,0.0,0.0,0.0,10611.530272108126
